timestamp,WashingMachine_kW,Dishwasher_kW,Dryer_kW,WaterHeater_kW,Total_kW
2025-01-01 16:15:00,0.018,0.0,0.0,1.692,1.71
2025-01-01 16:30:00,0.0,0.0,0.0,0.054,0.054
2025-01-01 16:45:00,0.0,0.023,0.0,0.12,0.143
2025-01-01 17:00:00,0.0,0.004,0.0,1.6,1.604
2025-01-01 17:15:00,0.055,0.012,0.004,0.125,0.196
2025-01-01 17:30:00,0.0,0.052,0.0,0.086,0.138
2025-01-01 17:45:00,0.0,0.005,0.0,0.025,0.03
2025-01-01 18:00:00,0.0,0.0,0.043,0.064,0.107
2025-01-01 18:15:00,0.616,0.0,0.0,0.107,0.723
2025-01-01 18:30:00,0.577,0.0,0.0,0.103,0.68
2025-01-01 18:45:00,1.647,0.0,0.0,0.033,1.68
2025-01-01 19:00:00,1.721,0.0,0.015,0.052,1.788
2025-01-01 19:15:00,1.699,0.0,0.0,2.268,3.967
2025-01-01 19:30:00,0.432,0.0,0.008,2.283,2.723
2025-01-01 19:45:00,0.424,0.587,0.076,2.219,3.306
2025-01-01 20:00:00,0.258,0.62,0.011,2.309,3.198
2025-01-01 20:15:00,0.02,1.647,0.02,3.658,5.345
2025-01-01 20:30:00,0.0,1.72,0.027,2.246,3.993
2025-01-01 20:45:00,0.0,1.694,0.0,0.067,1.761
2025-01-01 21:00:00,0.0,0.394,0.013,0.063,0.47
2025-01-01 21:15:00,0.0,0.41,0.006,0.089,0.505
2025-01-01 21:30:00,0.008,0.299,0.011,0.088,0.406
2025-01-01 21:45:00,0.057,0.0,0.002,0.118,0.177
2025-01-01 22:00:00,0.0,0.0,0.057,0.067,0.124
2025-01-01 22:15:00,0.026,0.027,0.009,0.089,0.151
2025-01-01 22:30:00,0.009,0.004,0.0,0.062,0.075
2025-01-01 22:45:00,0.011,0.006,0.018,0.093,0.128
2025-01-01 23:00:00,0.019,0.0,0.0,0.093,0.112
2025-01-01 23:15:00,0.0,0.0,0.0,0.054,0.054
2025-01-01 23:30:00,0.024,0.043,0.0,2.072,2.139
2025-01-01 23:45:00,0.0,0.0,0.01,0.068,0.078
2025-01-02 00:00:00,0.0,0.052,0.0,0.135,0.187
2025-01-02 00:15:00,0.0,0.0,0.0,0.136,0.136
2025-01-02 00:30:00,0.068,0.0,0.0,0.089,0.157
2025-01-02 00:45:00,0.0,0.036,0.016,0.07,0.122
2025-01-02 01:00:00,0.0,0.0,0.005,0.137,0.142
2025-01-02 01:15:00,0.051,0.0,0.014,0.106,0.171
2025-01-02 01:30:00,0.0,0.033,0.0,0.096,0.129
2025-01-02 01:45:00,0.0,0.0,0.007,0.055,0.062
2025-01-02 02:00:00,0.0,0.0,0.0,0.131,0.131
2025-01-02 02:15:00,0.007,0.019,0.0,0.078,0.104
2025-01-02 02:30:00,0.0,0.002,0.0,1.787,1.789
2025-01-02 02:45:00,0.0,0.0,0.0,1.787,1.787
2025-01-02 03:00:00,0.004,0.0,0.0,0.083,0.087
2025-01-02 03:15:00,0.009,0.0,0.0,0.159,0.168
2025-01-02 03:30:00,0.0,0.0,0.0,0.103,0.103
2025-01-02 03:45:00,0.034,0.049,0.007,0.086,0.176
2025-01-02 04:00:00,0.0,0.0,0.04,0.096,0.136
2025-01-02 04:15:00,0.003,0.0,0.002,0.097,0.102
2025-01-02 04:30:00,0.014,0.0,0.005,0.092,0.111
2025-01-02 04:45:00,0.0,0.0,0.0,0.076,0.076
2025-01-02 05:00:00,0.024,0.027,0.0,0.061,0.112
2025-01-02 05:15:00,0.0,0.032,0.048,0.101,0.181
2025-01-02 05:30:00,0.0,0.0,0.007,0.082,0.089
2025-01-02 05:45:00,0.014,0.013,0.002,0.121,0.15
2025-01-02 06:00:00,0.029,0.022,0.044,0.114,0.209
2025-01-02 06:15:00,0.009,0.023,0.0,2.315,2.347
2025-01-02 06:30:00,0.041,0.046,0.018,2.276,2.381
2025-01-02 06:45:00,0.019,0.005,0.0,2.213,2.237
2025-01-02 07:00:00,0.0,0.0,0.0,2.282,2.282
2025-01-02 07:15:00,0.03,0.0,0.0,0.054,0.084
2025-01-02 07:30:00,0.018,0.044,0.001,0.122,0.185
2025-01-02 07:45:00,0.0,0.002,0.006,0.073,0.081
2025-01-02 08:00:00,0.0,0.0,0.0,0.129,0.129
2025-01-02 08:15:00,0.0,0.0,0.0,0.072,0.072
2025-01-02 08:30:00,0.037,0.025,0.0,0.014,0.076
2025-01-02 08:45:00,0.003,0.0,0.003,0.081,0.087
2025-01-02 09:00:00,0.0,0.012,0.016,0.1,0.128
2025-01-02 09:15:00,0.027,0.0,0.0,0.093,0.12
2025-01-02 09:30:00,0.0,0.034,0.0,0.107,0.141
2025-01-02 09:45:00,0.019,0.0,0.0,0.137,0.156
2025-01-02 10:00:00,0.0,0.0,0.06,0.123,0.183
2025-01-02 10:15:00,0.011,0.008,0.0,0.109,0.128
2025-01-02 10:30:00,0.0,0.028,0.017,0.079,0.124
2025-01-02 10:45:00,0.0,0.0,0.0,0.089,0.089
2025-01-02 11:00:00,0.0,0.01,0.013,0.115,0.138
2025-01-02 11:15:00,0.0,0.01,0.0,0.148,0.158
2025-01-02 11:30:00,0.028,0.005,0.005,0.118,0.156
2025-01-02 11:45:00,0.02,0.0,0.0,0.07,0.09
2025-01-02 12:00:00,0.0,0.006,0.0,0.06,0.066
2025-01-02 12:15:00,0.065,0.003,0.0,0.113,0.181
2025-01-02 12:30:00,0.0,0.0,0.037,0.062,0.099
2025-01-02 12:45:00,0.0,0.005,0.011,0.091,0.107
2025-01-02 13:00:00,0.044,0.007,0.018,0.086,0.155
2025-01-02 13:15:00,0.009,0.0,0.004,0.155,0.168
2025-01-02 13:30:00,0.045,0.0,0.02,0.094,0.159
2025-01-02 13:45:00,0.0,0.021,0.0,0.124,0.145
2025-01-02 14:00:00,0.025,0.0,0.0,0.119,0.144
2025-01-02 14:15:00,0.0,0.009,0.0,0.125,0.134
2025-01-02 14:30:00,0.064,0.01,0.033,0.11,0.217
2025-01-02 14:45:00,0.0,0.014,0.013,0.125,0.152
2025-01-02 15:00:00,0.018,0.045,0.058,0.13,0.251
2025-01-02 15:15:00,0.0,0.007,0.0,0.111,0.118
2025-01-02 15:30:00,0.0,0.0,0.0,0.114,0.114
2025-01-02 15:45:00,0.0,0.04,0.0,0.114,0.154
2025-01-02 16:00:00,0.022,0.005,0.035,0.094,0.156
2025-01-02 16:15:00,0.0,0.004,0.007,0.08,0.091
2025-01-02 16:30:00,0.0,0.001,0.0,0.068,0.069
2025-01-02 16:45:00,0.024,0.009,0.021,0.121,0.175
2025-01-02 17:00:00,0.0,0.0,0.046,0.136,0.182
2025-01-02 17:15:00,0.021,0.01,0.0,0.099,0.13
2025-01-02 17:30:00,0.0,0.0,0.025,2.015,2.04
2025-01-02 17:45:00,0.012,0.016,0.0,0.082,0.11
2025-01-02 18:00:00,0.0,0.006,0.011,0.12,0.137
2025-01-02 18:15:00,0.031,0.014,0.0,0.055,0.1
2025-01-02 18:30:00,0.0,0.005,0.0,1.775,1.78
2025-01-02 18:45:00,0.0,0.0,0.0,1.796,1.796
2025-01-02 19:00:00,0.0,0.633,0.007,2.025,2.665
2025-01-02 19:15:00,0.656,0.651,0.0,2.066,3.373
2025-01-02 19:30:00,0.592,1.781,0.0,2.07,4.443
2025-01-02 19:45:00,1.83,1.796,0.0,2.047,5.673
2025-01-02 20:00:00,1.89,1.796,0.0,2.034,5.72
2025-01-02 20:15:00,1.895,0.373,0.0,0.064,2.332
2025-01-02 20:30:00,0.419,0.404,0.08,0.143,1.046
2025-01-02 20:45:00,0.447,0.295,0.0,0.058,0.8
2025-01-02 21:00:00,0.309,0.001,0.0,0.167,0.477
2025-01-02 21:15:00,0.0,0.0,0.0,1.904,1.904
2025-01-02 21:30:00,0.017,0.03,0.0,1.968,2.015
2025-01-02 21:45:00,0.054,0.01,0.0,0.094,0.158
2025-01-02 22:00:00,0.045,0.011,0.034,0.113,0.203
2025-01-02 22:15:00,0.0,0.007,0.0,0.062,0.069
2025-01-02 22:30:00,0.019,0.0,0.0,0.132,0.151
2025-01-02 22:45:00,0.0,0.0,0.016,0.101,0.117
2025-01-02 23:00:00,0.025,0.013,0.036,0.108,0.182
2025-01-02 23:15:00,0.0,0.061,0.0,0.129,0.19
2025-01-02 23:30:00,0.018,0.025,0.0,0.065,0.108
2025-01-02 23:45:00,0.038,0.048,0.012,0.068,0.166
2025-01-03 00:00:00,0.0,0.0,0.0,0.081,0.081
2025-01-03 00:15:00,0.0,0.0,0.0,0.092,0.092
2025-01-03 00:30:00,0.0,0.0,0.019,0.091,0.11
2025-01-03 00:45:00,0.026,0.03,0.0,0.098,0.154
2025-01-03 01:00:00,0.012,0.019,0.0,0.041,0.072
2025-01-03 01:15:00,0.0,0.0,0.003,0.026,0.029
2025-01-03 01:30:00,0.003,0.0,0.0,0.085,0.088
2025-01-03 01:45:00,0.0,0.013,0.009,0.033,0.055
2025-01-03 02:00:00,0.017,0.018,0.0,0.099,0.134
2025-01-03 02:15:00,0.0,0.024,0.02,0.043,0.087
2025-01-03 02:30:00,0.006,0.003,0.0,0.093,0.102
2025-01-03 02:45:00,0.047,0.062,0.03,0.072,0.211
2025-01-03 03:00:00,0.0,0.0,0.049,0.024,0.073
2025-01-03 03:15:00,0.017,0.004,0.0,1.971,1.992
2025-01-03 03:30:00,0.014,0.0,0.005,2.013,2.032
2025-01-03 03:45:00,0.0,0.0,0.0,0.049,0.049
2025-01-03 04:00:00,0.008,0.0,0.0,0.059,0.067
2025-01-03 04:15:00,0.062,0.024,0.022,1.708,1.816
2025-01-03 04:30:00,0.0,0.003,0.037,0.091,0.131
2025-01-03 04:45:00,0.0,0.0,0.0,0.079,0.079
2025-01-03 05:00:00,0.044,0.0,0.0,0.036,0.08
2025-01-03 05:15:00,0.0,0.0,0.029,0.103,0.132
2025-01-03 05:30:00,0.011,0.045,0.0,0.025,0.081
2025-01-03 05:45:00,0.0,0.032,0.051,0.049,0.132
2025-01-03 06:00:00,0.006,0.02,0.0,0.088,0.114
2025-01-03 06:15:00,0.004,0.031,0.0,0.12,0.155
2025-01-03 06:30:00,0.002,0.002,0.023,2.503,2.53
2025-01-03 06:45:00,0.0,0.0,0.002,2.62,2.622
2025-01-03 07:00:00,0.0,0.014,0.043,2.603,2.66
2025-01-03 07:15:00,0.009,0.004,0.0,2.603,2.616
2025-01-03 07:30:00,0.0,0.0,0.0,2.627,2.627
2025-01-03 07:45:00,0.033,0.0,0.015,0.106,0.154
2025-01-03 08:00:00,0.006,0.04,0.0,0.075,0.121
2025-01-03 08:15:00,0.0,0.0,0.0,0.128,0.128
2025-01-03 08:30:00,0.0,0.0,0.011,0.051,0.062
2025-01-03 08:45:00,0.0,0.002,0.002,0.076,0.08
2025-01-03 09:00:00,0.019,0.0,0.033,0.089,0.141
2025-01-03 09:15:00,0.0,0.0,0.0,0.093,0.093
2025-01-03 09:30:00,0.017,0.0,0.005,0.069,0.091
2025-01-03 09:45:00,0.0,0.05,0.0,0.055,0.105
2025-01-03 10:00:00,0.006,0.0,0.04,0.078,0.124
2025-01-03 10:15:00,0.015,0.057,0.01,0.068,0.15
2025-01-03 10:30:00,0.014,0.0,0.0,0.075,0.089
2025-01-03 10:45:00,0.0,0.021,0.0,0.066,0.087
2025-01-03 11:00:00,0.015,0.0,0.0,0.072,0.087
2025-01-03 11:15:00,0.0,0.0,0.0,0.046,0.046
2025-01-03 11:30:00,0.033,0.057,0.0,0.064,0.154
2025-01-03 11:45:00,0.0,0.0,0.008,0.046,0.054
2025-01-03 12:00:00,0.0,0.041,0.0,0.061,0.102
2025-01-03 12:15:00,0.0,0.042,0.0,0.08,0.122
2025-01-03 12:30:00,0.024,0.015,0.0,0.089,0.128
2025-01-03 12:45:00,0.072,0.01,0.0,0.077,0.159
2025-01-03 13:00:00,0.007,0.013,0.0,0.094,0.114
2025-01-03 13:15:00,0.018,0.013,0.0,0.023,0.054
2025-01-03 13:30:00,0.009,0.014,0.0,0.085,0.108
2025-01-03 13:45:00,0.013,0.06,0.009,0.068,0.15
2025-01-03 14:00:00,0.023,0.0,0.043,0.1,0.166
2025-01-03 14:15:00,0.036,0.008,0.014,0.089,0.147
2025-01-03 14:30:00,0.0,0.0,0.0,0.026,0.026
2025-01-03 14:45:00,0.0,0.0,0.025,0.11,0.135
2025-01-03 15:00:00,0.0,0.0,0.0,0.056,0.056
2025-01-03 15:15:00,0.0,0.0,0.0,1.878,1.878
2025-01-03 15:30:00,0.0,0.031,0.0,0.11,0.141
2025-01-03 15:45:00,0.027,0.0,0.0,0.093,0.12
2025-01-03 16:00:00,0.009,0.021,0.0,0.047,0.077
2025-01-03 16:15:00,0.0,0.0,0.003,0.107,0.11
2025-01-03 16:30:00,0.0,0.015,0.0,0.029,0.044
2025-01-03 16:45:00,0.012,0.0,0.062,0.031,0.105
2025-01-03 17:00:00,0.0,0.0,0.026,0.102,0.128
2025-01-03 17:15:00,0.02,0.0,0.036,0.068,0.124
2025-01-03 17:30:00,0.0,0.048,0.0,0.025,0.073
2025-01-03 17:45:00,0.0,0.0,0.04,0.067,0.107
2025-01-03 18:00:00,0.003,0.0,0.0,0.079,0.082
2025-01-03 18:15:00,0.0,0.0,0.0,1.933,1.933
2025-01-03 18:30:00,0.038,0.037,0.0,0.007,0.082
2025-01-03 18:45:00,0.0,0.0,0.0,0.056,0.056
2025-01-03 19:00:00,0.02,0.0,0.0,0.091,0.111
2025-01-03 19:15:00,0.557,0.0,0.014,0.056,0.627
2025-01-03 19:30:00,0.631,0.0,0.035,0.05,0.716
2025-01-03 19:45:00,1.827,0.0,0.038,2.384,4.249
2025-01-03 20:00:00,1.86,0.008,0.0,2.399,4.267
2025-01-03 20:15:00,1.823,0.057,0.0,2.396,4.276
2025-01-03 20:30:00,0.403,0.0,0.0,2.455,2.858
2025-01-03 20:45:00,0.422,0.0,0.026,2.372,2.82
2025-01-03 21:00:00,0.278,0.0,0.0,2.346,2.624
2025-01-03 21:15:00,0.0,0.0,0.01,0.097,0.107
2025-01-03 21:30:00,0.0,0.003,0.007,0.107,0.117
2025-01-03 21:45:00,0.01,0.0,0.0,0.035,0.045
2025-01-03 22:00:00,0.0,0.024,0.026,0.054,0.104
2025-01-03 22:15:00,0.0,0.0,0.022,0.054,0.076
2025-01-03 22:30:00,0.018,0.008,0.0,0.061,0.087
2025-01-03 22:45:00,0.0,0.0,0.0,0.09,0.09
2025-01-03 23:00:00,0.0,0.013,0.032,0.055,0.1
2025-01-03 23:15:00,0.0,0.041,0.0,0.05,0.091
2025-01-03 23:30:00,0.0,0.0,0.06,0.02,0.08
2025-01-03 23:45:00,0.0,0.0,0.066,0.039,0.105
2025-01-04 00:00:00,0.0,0.0,0.0,0.095,0.095
2025-01-04 00:15:00,0.048,0.0,0.0,0.087,0.135
2025-01-04 00:30:00,0.0,0.0,0.0,0.08,0.08
2025-01-04 00:45:00,0.002,0.017,0.0,0.131,0.15
2025-01-04 01:00:00,0.019,0.0,0.0,0.027,0.046
2025-01-04 01:15:00,0.028,0.0,0.04,0.109,0.177
2025-01-04 01:30:00,0.0,0.018,0.022,1.557,1.597
2025-01-04 01:45:00,0.0,0.002,0.0,0.078,0.08
2025-01-04 02:00:00,0.018,0.058,0.0,0.095,0.171
2025-01-04 02:15:00,0.027,0.021,0.0,0.132,0.18
2025-01-04 02:30:00,0.011,0.013,0.011,0.103,0.138
2025-01-04 02:45:00,0.0,0.0,0.0,0.144,0.144
2025-01-04 03:00:00,0.009,0.0,0.0,0.041,0.05
2025-01-04 03:15:00,0.0,0.0,0.007,0.037,0.044
2025-01-04 03:30:00,0.025,0.039,0.042,0.098,0.204
2025-01-04 03:45:00,0.0,0.0,0.0,0.11,0.11
2025-01-04 04:00:00,0.013,0.028,0.071,0.078,0.19
2025-01-04 04:15:00,0.0,0.002,0.045,0.086,0.133
2025-01-04 04:30:00,0.0,0.033,0.0,0.105,0.138
2025-01-04 04:45:00,0.0,0.0,0.056,0.084,0.14
2025-01-04 05:00:00,0.0,0.007,0.0,1.679,1.686
2025-01-04 05:15:00,0.047,0.046,0.009,1.695,1.797
2025-01-04 05:30:00,0.0,0.001,0.025,0.126,0.152
2025-01-04 05:45:00,0.0,0.0,0.003,0.049,0.052
2025-01-04 06:00:00,0.007,0.0,0.022,0.058,0.087
2025-01-04 06:15:00,0.0,0.0,0.018,2.445,2.463
2025-01-04 06:30:00,0.039,0.0,0.0,2.422,2.461
2025-01-04 06:45:00,0.004,0.0,0.0,2.446,2.45
2025-01-04 07:00:00,0.022,0.007,0.0,2.354,2.383
2025-01-04 07:15:00,0.0,0.0,0.021,2.463,2.484
2025-01-04 07:30:00,0.02,0.0,0.04,0.068,0.128
2025-01-04 07:45:00,0.0,0.0,0.0,0.107,0.107
2025-01-04 08:00:00,0.019,0.0,0.0,0.073,0.092
2025-01-04 08:15:00,0.011,0.0,0.0,0.061,0.072
2025-01-04 08:30:00,0.005,0.0,0.019,0.07,0.094
2025-01-04 08:45:00,0.0,0.0,0.0,1.982,1.982
2025-01-04 09:00:00,0.026,0.0,0.0,1.986,2.012
2025-01-04 09:15:00,0.022,0.0,0.017,0.072,0.111
2025-01-04 09:30:00,0.018,0.0,0.0,0.064,0.082
2025-01-04 09:45:00,0.0,0.0,0.03,0.121,0.151
2025-01-04 10:00:00,0.012,0.0,0.0,0.061,0.073
2025-01-04 10:15:00,0.042,0.0,0.0,0.099,0.141
2025-01-04 10:30:00,0.043,0.059,0.032,0.031,0.165
2025-01-04 10:45:00,0.0,0.008,0.014,0.045,0.067
2025-01-04 11:00:00,0.0,0.0,0.0,0.147,0.147
2025-01-04 11:15:00,0.017,0.0,0.035,0.064,0.116
2025-01-04 11:30:00,0.029,0.031,0.0,0.096,0.156
2025-01-04 11:45:00,0.0,0.001,0.0,0.079,0.08
2025-01-04 12:00:00,0.0,0.0,0.0,1.681,1.681
2025-01-04 12:15:00,0.0,0.008,0.001,3.601,3.61
2025-01-04 12:30:00,0.0,0.03,2.622,0.024,2.676
2025-01-04 12:45:00,0.0,0.019,2.481,0.114,2.614
2025-01-04 13:00:00,0.0,0.005,2.436,0.048,2.489
2025-01-04 13:15:00,0.008,0.0,2.366,0.091,2.465
2025-01-04 13:30:00,0.0,0.0,2.26,0.033,2.293
2025-01-04 13:45:00,0.032,0.0,0.239,0.107,0.378
2025-01-04 14:00:00,0.0,0.0,0.013,0.08,0.093
2025-01-04 14:15:00,0.0,0.038,0.0,1.959,1.997
2025-01-04 14:30:00,0.0,0.0,0.0,1.963,1.963
2025-01-04 14:45:00,0.018,0.001,0.052,0.054,0.125
2025-01-04 15:00:00,0.017,0.0,0.048,0.033,0.098
2025-01-04 15:15:00,0.052,0.008,0.0,0.056,0.116
2025-01-04 15:30:00,0.042,0.009,0.04,1.726,1.817
2025-01-04 15:45:00,0.0,0.0,0.0,1.63,1.63
2025-01-04 16:00:00,0.081,0.016,0.066,0.124,0.287
2025-01-04 16:15:00,0.005,0.0,0.033,0.042,0.08
2025-01-04 16:30:00,0.05,0.0,0.046,0.122,0.218
2025-01-04 16:45:00,0.021,0.008,0.0,0.094,0.123
2025-01-04 17:00:00,0.018,0.0,0.0,0.081,0.099
2025-01-04 17:15:00,0.0,0.045,0.019,0.06,0.124
2025-01-04 17:30:00,0.007,0.0,0.0,0.05,0.057
2025-01-04 17:45:00,0.045,0.015,0.0,0.088,0.148
2025-01-04 18:00:00,1.211,0.0,0.048,0.108,1.367
2025-01-04 18:15:00,1.177,0.0,0.028,0.101,1.306
2025-01-04 18:30:00,3.396,0.031,0.009,0.116,3.552
2025-01-04 18:45:00,3.352,0.0,0.0,0.105,3.457
2025-01-04 19:00:00,3.351,0.0,0.018,0.098,3.467
2025-01-04 19:15:00,0.762,0.038,0.0,0.041,0.841
2025-01-04 19:30:00,0.753,0.585,0.031,0.132,1.501
2025-01-04 19:45:00,0.592,0.592,0.004,0.114,1.302
2025-01-04 20:00:00,0.0,1.584,0.01,0.092,1.686
2025-01-04 20:15:00,0.015,1.643,0.0,2.391,4.049
2025-01-04 20:30:00,0.0,1.567,0.018,2.366,3.951
2025-01-04 20:45:00,0.045,0.419,0.025,2.325,2.814
2025-01-04 21:00:00,0.0,0.334,0.007,2.348,2.689
2025-01-04 21:15:00,0.017,0.32,0.0,0.106,0.443
2025-01-04 21:30:00,0.046,0.0,0.011,0.081,0.138
2025-01-04 21:45:00,0.035,0.04,0.069,0.131,0.275
2025-01-04 22:00:00,0.03,0.038,0.0,0.093,0.161
2025-01-04 22:15:00,0.012,0.0,0.0,0.096,0.108
2025-01-04 22:30:00,0.0,0.0,0.0,0.062,0.062
2025-01-04 22:45:00,0.0,0.0,0.0,0.061,0.061
2025-01-04 23:00:00,0.025,0.037,0.013,0.039,0.114
2025-01-04 23:15:00,0.012,0.008,0.005,0.121,0.146
2025-01-04 23:30:00,0.0,0.0,0.0,0.079,0.079
2025-01-04 23:45:00,0.0,0.071,0.0,0.109,0.18
2025-01-05 00:00:00,0.0,0.014,0.06,0.073,0.147
2025-01-05 00:15:00,0.028,0.0,0.022,2.07,2.12
2025-01-05 00:30:00,0.056,0.0,0.0,0.098,0.154
2025-01-05 00:45:00,0.0,0.045,0.015,0.121,0.181
2025-01-05 01:00:00,0.0,0.044,0.0,0.093,0.137
2025-01-05 01:15:00,0.023,0.0,0.0,0.089,0.112
2025-01-05 01:30:00,0.011,0.0,0.0,0.067,0.078
2025-01-05 01:45:00,0.005,0.0,0.0,0.101,0.106
2025-01-05 02:00:00,0.02,0.0,0.0,0.093,0.113
2025-01-05 02:15:00,0.022,0.009,0.0,0.094,0.125
2025-01-05 02:30:00,0.025,0.0,0.0,0.081,0.106
2025-01-05 02:45:00,0.0,0.016,0.018,0.038,0.072
2025-01-05 03:00:00,0.0,0.0,0.05,0.06,0.11
2025-01-05 03:15:00,0.006,0.033,0.0,0.091,0.13
2025-01-05 03:30:00,0.001,0.027,0.0,0.066,0.094
2025-01-05 03:45:00,0.0,0.003,0.011,0.105,0.119
2025-01-05 04:00:00,0.0,0.001,0.048,0.051,0.1
2025-01-05 04:15:00,0.0,0.0,0.0,0.06,0.06
2025-01-05 04:30:00,0.002,0.0,0.0,0.123,0.125
2025-01-05 04:45:00,0.0,0.0,0.0,0.055,0.055
2025-01-05 05:00:00,0.01,0.0,0.011,0.061,0.082
2025-01-05 05:15:00,0.0,0.0,0.0,0.092,0.092
2025-01-05 05:30:00,0.0,0.006,0.0,0.057,0.063
2025-01-05 05:45:00,0.0,0.014,0.0,0.106,0.12
2025-01-05 06:00:00,0.01,0.0,0.0,0.095,0.105
2025-01-05 06:15:00,0.0,0.0,0.006,0.063,0.069
2025-01-05 06:30:00,0.0,0.0,0.0,0.119,0.119
2025-01-05 06:45:00,0.008,0.035,0.005,0.08,0.128
2025-01-05 07:00:00,0.027,0.014,0.024,2.237,2.302
2025-01-05 07:15:00,0.0,0.0,0.03,2.206,2.236
2025-01-05 07:30:00,0.0,0.0,0.004,2.256,2.26
2025-01-05 07:45:00,0.0,0.0,0.021,2.242,2.263
2025-01-05 08:00:00,0.0,0.0,0.0,2.286,2.286
2025-01-05 08:15:00,0.0,0.0,0.0,0.06,0.06
2025-01-05 08:30:00,0.024,0.02,0.036,1.878,1.958
2025-01-05 08:45:00,0.002,0.041,0.063,1.94,2.046
2025-01-05 09:00:00,0.0,0.0,0.0,0.115,0.115
